Using hybrid two-pass approach
APSC: Starting from 1860 to 198
Collapsed to 1509 vertices (cost: 27.3432)
Collapsed to 1508 vertices (cost: 27.4526)
Collapsed to 1507 vertices (cost: 27.5292)
Collapsed to 1506 vertices (cost: 27.5391)
Collapsed to 1505 vertices (cost: 13.8518)
Collapsed to 1504 vertices (cost: 27.6626)
Collapsed to 1503 vertices (cost: 20.9045)
Collapsed to 1502 vertices (cost: 27.7707)
Collapsed to 1501 vertices (cost: 27.7732)
Collapsed to 1500 vertices (cost: 27.8216)
Collapsed to 1499 vertices (cost: 27.8971)
Collapsed to 1498 vertices (cost: 27.8971)
Collapsed to 1497 vertices (cost: 17.6492)
Collapsed to 1496 vertices (cost: 27.8991)
Collapsed to 1495 vertices (cost: 27.9101)
Collapsed to 1494 vertices (cost: 28.0262)
Collapsed to 1493 vertices (cost: 28.2099)
Collapsed to 1492 vertices (cost: 3.11399)
Collapsed to 1491 vertices (cost: 16.0187)
Collapsed to 1490 vertices (cost: 28.4236)
Collapsed to 1489 vertices (cost: 28.4566)
Collapsed to 1488 vertices (cost: 28.4569)
Collapsed to 1487 vertices (cost: 28.6569)
Collapsed to 1486 vertices (cost: 28.6822)
Collapsed to 1485 vertices (cost: 29.1728)
Collapsed to 1484 vertices (cost: 29.3399)
Collapsed to 1483 vertices (cost: 29.382)
Collapsed to 1482 vertices (cost: 29.535)
Collapsed to 1481 vertices (cost: 26.378)
Collapsed to 1480 vertices (cost: 29.6875)
Collapsed to 1479 vertices (cost: 29.8351)
Collapsed to 1478 vertices (cost: 29.8721)
Collapsed to 1477 vertices (cost: 30.0703)
Collapsed to 1476 vertices (cost: 30.103)
Collapsed to 1475 vertices (cost: 30.1346)
Collapsed to 1474 vertices (cost: 30.1381)
Collapsed to 1473 vertices (cost: 30.5383)
Collapsed to 1472 vertices (cost: 30.6342)
Collapsed to 1471 vertices (cost: 31.3222)
Collapsed to 1470 vertices (cost: 31.324)
Collapsed to 1469 vertices (cost: 31.8563)
Collapsed to 1468 vertices (cost: 7.16061)
Collapsed to 1467 vertices (cost: 31.3345)
Collapsed to 1466 vertices (cost: 26.8676)
Collapsed to 1465 vertices (cost: 32.0294)
Collapsed to 1464 vertices (cost: 32.1182)
Collapsed to 1463 vertices (cost: 32.131)
Collapsed to 1462 vertices (cost: 22.7663)
Collapsed to 1461 vertices (cost: 32.1314)
Collapsed to 1460 vertices (cost: 1.37875)
Collapsed to 1459 vertices (cost: 32.3375)
Collapsed to 1458 vertices (cost: 32.4161)
Collapsed to 1457 vertices (cost: 32.488)
Collapsed to 1456 vertices (cost: 32.6035)
Collapsed to 1455 vertices (cost: 13.3188)
Collapsed to 1454 vertices (cost: 32.6819)
Collapsed to 1453 vertices (cost: 32.6928)
Collapsed to 1452 vertices (cost: 32.7155)
Collapsed to 1451 vertices (cost: 32.7995)
Collapsed to 1450 vertices (cost: 28.8426)
Collapsed to 1449 vertices (cost: 18.6616)
Collapsed to 1448 vertices (cost: 33.1107)
Collapsed to 1447 vertices (cost: 33.1356)
Collapsed to 1446 vertices (cost: 33.5825)
Collapsed to 1445 vertices (cost: 34.045)
Collapsed to 1444 vertices (cost: 34.2504)
Collapsed to 1443 vertices (cost: 34.566)
Collapsed to 1442 vertices (cost: 27.0341)
Collapsed to 1441 vertices (cost: 3.28969)
Collapsed to 1440 vertices (cost: 34.6196)
Collapsed to 1439 vertices (cost: 34.7278)
Collapsed to 1438 vertices (cost: 34.785)
Collapsed to 1437 vertices (cost: 34.9438)
Collapsed to 1436 vertices (cost: 34.9874)
Collapsed to 1435 vertices (cost: 35.0208)
Collapsed to 1434 vertices (cost: 35.0225)
Collapsed to 1433 vertices (cost: 35.0273)
Collapsed to 1432 vertices (cost: 35.1308)
Collapsed to 1431 vertices (cost: 35.3941)
Collapsed to 1430 vertices (cost: 35.5327)
Collapsed to 1429 vertices (cost: 35.9595)
Collapsed to 1428 vertices (cost: 36.148)
Collapsed to 1427 vertices (cost: 36.3728)
Collapsed to 1426 vertices (cost: 36.6625)
Collapsed to 1425 vertices (cost: 36.9548)
Collapsed to 1424 vertices (cost: 14.3694)
Collapsed to 1423 vertices (cost: 36.979)
Collapsed to 1422 vertices (cost: 35.6805)
Collapsed to 1421 vertices (cost: 37.4884)
Collapsed to 1420 vertices (cost: 21.9242)
Collapsed to 1419 vertices (cost: 35.8781)
Collapsed to 1418 vertices (cost: 38.2486)
Collapsed to 1417 vertices (cost: 1.05833)
Collapsed to 1416 vertices (cost: 38.2671)
Collapsed to 1415 vertices (cost: 38.3897)
Collapsed to 1414 vertices (cost: 38.5455)
Collapsed to 1413 vertices (cost: 38.6298)
Collapsed to 1412 vertices (cost: 17.9356)
Collapsed to 1411 vertices (cost: 38.6698)
Collapsed to 1410 vertices (cost: 38.9063)
Collapsed to 1409 vertices (cost: 38.9477)
Collapsed to 1408 vertices (cost: 39.2927)
Collapsed to 1407 vertices (cost: 39.5794)
Collapsed to 1406 vertices (cost: 39.6323)
Collapsed to 1405 vertices (cost: 40.0981)
Collapsed to 1404 vertices (cost: 26.5024)
Collapsed to 1403 vertices (cost: 40.4959)
Collapsed to 1402 vertices (cost: 40.5095)
Collapsed to 1401 vertices (cost: 40.5244)
Collapsed to 1400 vertices (cost: 40.7733)
Collapsed to 1399 vertices (cost: 40.8473)
Collapsed to 1398 vertices (cost: 40.9428)
Collapsed to 1397 vertices (cost: 41.4521)
Collapsed to 1396 vertices (cost: 41.6496)
Collapsed to 1395 vertices (cost: 41.7418)
Collapsed to 1394 vertices (cost: 39.3352)
Collapsed to 1393 vertices (cost: 41.793)
Collapsed to 1392 vertices (cost: 0.71426)
Collapsed to 1391 vertices (cost: 41.9537)
Collapsed to 1390 vertices (cost: 41.9561)
Collapsed to 1389 vertices (cost: 42.0946)
Collapsed to 1388 vertices (cost: 42.3814)
Collapsed to 1387 vertices (cost: 42.5786)
Collapsed to 1386 vertices (cost: 42.8803)
Collapsed to 1385 vertices (cost: 43.0956)
Collapsed to 1384 vertices (cost: 43.0996)
