Using hybrid two-pass approach
APSC: Starting from 2000 to 198
Collapsed to 1692 vertices (cost: 7.41789e-05)
Collapsed to 1691 vertices (cost: 90)
Collapsed to 1690 vertices (cost: 90.9091)
Collapsed to 1689 vertices (cost: 69.8113)
Collapsed to 1688 vertices (cost: 90.9091)
Collapsed to 1687 vertices (cost: 92.3077)
Collapsed to 1686 vertices (cost: 94.1176)
Collapsed to 1685 vertices (cost: 21.9931)
Collapsed to 1684 vertices (cost: 95.3566)
Collapsed to 1683 vertices (cost: 95.4545)
Collapsed to 1682 vertices (cost: 99.9993)
Collapsed to 1681 vertices (cost: 100)
Collapsed to 1680 vertices (cost: 100)
Collapsed to 1679 vertices (cost: 100)
Collapsed to 1678 vertices (cost: 100)
Collapsed to 1677 vertices (cost: 66.6667)
Collapsed to 1676 vertices (cost: 100)
Collapsed to 1675 vertices (cost: 33.3333)
Collapsed to 1674 vertices (cost: 4.39433e-05)
Collapsed to 1673 vertices (cost: 4.46127e-05)
Collapsed to 1672 vertices (cost: 66.6667)
Collapsed to 1671 vertices (cost: 46.1538)
Collapsed to 1670 vertices (cost: 100)
Collapsed to 1669 vertices (cost: 100)
Collapsed to 1668 vertices (cost: 54.5455)
Collapsed to 1667 vertices (cost: 3.26592e-05)
Collapsed to 1666 vertices (cost: 100)
Collapsed to 1665 vertices (cost: 100)
Collapsed to 1664 vertices (cost: 100)
Collapsed to 1663 vertices (cost: 100)
Collapsed to 1662 vertices (cost: 100)
Collapsed to 1661 vertices (cost: 80)
Collapsed to 1660 vertices (cost: 32.0513)
Collapsed to 1659 vertices (cost: 100)
Collapsed to 1658 vertices (cost: 33.3333)
Collapsed to 1657 vertices (cost: 100)
Collapsed to 1656 vertices (cost: 100)
Collapsed to 1655 vertices (cost: 100)
Collapsed to 1654 vertices (cost: 37.5)
Collapsed to 1653 vertices (cost: 100)
Collapsed to 1652 vertices (cost: 100)
Collapsed to 1651 vertices (cost: 33.3333)
Collapsed to 1650 vertices (cost: 7.17894e-08)
Collapsed to 1649 vertices (cost: 1.45791e-06)
Collapsed to 1648 vertices (cost: 13.5135)
Collapsed to 1647 vertices (cost: 100)
Collapsed to 1646 vertices (cost: 100)
Collapsed to 1645 vertices (cost: 100)
Collapsed to 1644 vertices (cost: 100)
Collapsed to 1643 vertices (cost: 100)
Collapsed to 1642 vertices (cost: 100)
Collapsed to 1641 vertices (cost: 100)
Collapsed to 1640 vertices (cost: 100)
Collapsed to 1639 vertices (cost: 100)
Collapsed to 1638 vertices (cost: 41.8605)
Collapsed to 1637 vertices (cost: 100)
Collapsed to 1636 vertices (cost: 100)
Collapsed to 1635 vertices (cost: 75)
Collapsed to 1634 vertices (cost: 68.5714)
Collapsed to 1633 vertices (cost: 9.52029e-05)
Collapsed to 1632 vertices (cost: 89.6703)
Collapsed to 1631 vertices (cost: 2.4518e-06)
Collapsed to 1630 vertices (cost: 34.4804)
Collapsed to 1629 vertices (cost: 100)
Collapsed to 1628 vertices (cost: 66.6667)
Collapsed to 1627 vertices (cost: 100)
Collapsed to 1626 vertices (cost: 100)
Collapsed to 1625 vertices (cost: 100)
Collapsed to 1624 vertices (cost: 100)
Collapsed to 1623 vertices (cost: 100)
Collapsed to 1622 vertices (cost: 6.34909)
Collapsed to 1621 vertices (cost: 101.408)
Collapsed to 1620 vertices (cost: 101.77)
Collapsed to 1619 vertices (cost: 0.0289759)
Collapsed to 1618 vertices (cost: 103.125)
Collapsed to 1617 vertices (cost: 103.125)
Collapsed to 1616 vertices (cost: 103.448)
Collapsed to 1615 vertices (cost: 103.529)
Collapsed to 1614 vertices (cost: 105.882)
Collapsed to 1613 vertices (cost: 34.5456)
Collapsed to 1612 vertices (cost: 109.091)
Collapsed to 1611 vertices (cost: 2.52537e-06)
Collapsed to 1610 vertices (cost: 3.69355e-08)
Collapsed to 1609 vertices (cost: 111.111)
Collapsed to 1608 vertices (cost: 112.5)
Collapsed to 1607 vertices (cost: 66.9643)
Collapsed to 1606 vertices (cost: 6.60506)
Collapsed to 1605 vertices (cost: 79.2021)
Collapsed to 1604 vertices (cost: 112.5)
Collapsed to 1603 vertices (cost: 47.1154)
Collapsed to 1602 vertices (cost: 113.333)
Collapsed to 1601 vertices (cost: 0.000141637)
Collapsed to 1600 vertices (cost: 89.4736)
Collapsed to 1599 vertices (cost: 85.7143)
Collapsed to 1598 vertices (cost: 3.67655)
Collapsed to 1597 vertices (cost: 114.286)
Collapsed to 1596 vertices (cost: 4.16205e-05)
Collapsed to 1595 vertices (cost: 67.5)
Collapsed to 1594 vertices (cost: 75)
Collapsed to 1593 vertices (cost: 49.0272)
Collapsed to 1592 vertices (cost: 99.4021)
Collapsed to 1591 vertices (cost: 116.667)
Collapsed to 1590 vertices (cost: 117.647)
Collapsed to 1589 vertices (cost: 120)
Collapsed to 1588 vertices (cost: 90)
Collapsed to 1587 vertices (cost: 106.835)
Collapsed to 1586 vertices (cost: 120)
Collapsed to 1585 vertices (cost: 113.592)
Collapsed to 1584 vertices (cost: 4.20857e-06)
Collapsed to 1583 vertices (cost: 57.9131)
Collapsed to 1582 vertices (cost: 0.000114213)
Collapsed to 1581 vertices (cost: 120)
Collapsed to 1580 vertices (cost: 90)
Collapsed to 1579 vertices (cost: 120)
Collapsed to 1578 vertices (cost: 120)
Collapsed to 1577 vertices (cost: 120)
Collapsed to 1576 vertices (cost: 120)
Collapsed to 1575 vertices (cost: 108)
Collapsed to 1574 vertices (cost: 120)
Collapsed to 1573 vertices (cost: 120)
Collapsed to 1572 vertices (cost: 120)
Collapsed to 1571 vertices (cost: 18.6047)
Collapsed to 1570 vertices (cost: 5.4821)
Collapsed to 1569 vertices (cost: 120)
Collapsed to 1568 vertices (cost: 122.034)
Collapsed to 1567 vertices (cost: 57.6)
Collapsed to 1566 vertices (cost: 124.051)
Collapsed to 1565 vertices (cost: 125)
Collapsed to 1564 vertices (cost: 40)
Collapsed to 1563 vertices (cost: 12.5)
Collapsed to 1562 vertices (cost: 40)
Collapsed to 1561 vertices (cost: 108.736)
Collapsed to 1560 vertices (cost: 126.303)
Collapsed to 1559 vertices (cost: 126.316)
Collapsed to 1558 vertices (cost: 0.000151015)
Collapsed to 1557 vertices (cost: 126.446)
Collapsed to 1556 vertices (cost: 127.273)
Collapsed to 1555 vertices (cost: 124.675)
Collapsed to 1554 vertices (cost: 127.273)
Collapsed to 1553 vertices (cost: 7.44553e-05)
Collapsed to 1552 vertices (cost: 80)
Collapsed to 1551 vertices (cost: 133.333)
Collapsed to 1550 vertices (cost: 133.333)
Collapsed to 1549 vertices (cost: 66.6668)
Collapsed to 1548 vertices (cost: 133.333)
Collapsed to 1547 vertices (cost: 133.333)
Collapsed to 1546 vertices (cost: 133.333)
Collapsed to 1545 vertices (cost: 133.333)
Collapsed to 1544 vertices (cost: 33.3334)
Collapsed to 1543 vertices (cost: 133.333)
Collapsed to 1542 vertices (cost: 4.39441e-05)
Collapsed to 1541 vertices (cost: 13.3333)
Collapsed to 1540 vertices (cost: 93.7501)
Collapsed to 1539 vertices (cost: 1.3362e-05)
Collapsed to 1538 vertices (cost: 120)
Collapsed to 1537 vertices (cost: 133.333)
Collapsed to 1536 vertices (cost: 133.333)
Collapsed to 1535 vertices (cost: 100)
Collapsed to 1534 vertices (cost: 133.333)
Collapsed to 1533 vertices (cost: 0.00010969)
Collapsed to 1532 vertices (cost: 50.0001)
Collapsed to 1531 vertices (cost: 133.333)
Collapsed to 1530 vertices (cost: 133.333)
Collapsed to 1529 vertices (cost: 88.8889)
Collapsed to 1528 vertices (cost: 133.333)
Collapsed to 1527 vertices (cost: 2.81744e-05)
Collapsed to 1526 vertices (cost: 3.0268e-08)
Collapsed to 1525 vertices (cost: 8.17701e-06)
Collapsed to 1524 vertices (cost: 6.53684e-05)
Collapsed to 1523 vertices (cost: 6.53242e-05)
Collapsed to 1522 vertices (cost: 133.333)
Collapsed to 1521 vertices (cost: 40)
Collapsed to 1520 vertices (cost: 133.333)
Collapsed to 1519 vertices (cost: 138.462)
Collapsed to 1518 vertices (cost: 4.84624e-05)
Collapsed to 1517 vertices (cost: 141.176)
Collapsed to 1516 vertices (cost: 142.029)
Collapsed to 1515 vertices (cost: 142.623)
Collapsed to 1514 vertices (cost: 142.857)
Collapsed to 1513 vertices (cost: 99.9999)
Collapsed to 1512 vertices (cost: 144)
Collapsed to 1511 vertices (cost: 145.455)
Collapsed to 1510 vertices (cost: 145.455)
Collapsed to 1509 vertices (cost: 146.667)
Collapsed to 1508 vertices (cost: 146.667)
Collapsed to 1507 vertices (cost: 8.46437e-05)
Collapsed to 1506 vertices (cost: 0.000194956)
Collapsed to 1505 vertices (cost: 148.148)
Collapsed to 1504 vertices (cost: 150)
Collapsed to 1503 vertices (cost: 150)
Collapsed to 1502 vertices (cost: 30.0136)
Collapsed to 1501 vertices (cost: 134.128)
Collapsed to 1500 vertices (cost: 150)
Collapsed to 1499 vertices (cost: 150)
Collapsed to 1498 vertices (cost: 150)
Collapsed to 1497 vertices (cost: 150)
Collapsed to 1496 vertices (cost: 0)
Collapsed to 1495 vertices (cost: 63.6364)
Collapsed to 1494 vertices (cost: 0.810435)
Collapsed to 1493 vertices (cost: 150)
Collapsed to 1492 vertices (cost: 150)
Collapsed to 1491 vertices (cost: 25)
Collapsed to 1490 vertices (cost: 151.515)
Collapsed to 1489 vertices (cost: 151.934)
Collapsed to 1488 vertices (cost: 153.482)
Collapsed to 1487 vertices (cost: 153.846)
Collapsed to 1486 vertices (cost: 36.036)
Collapsed to 1485 vertices (cost: 10.0248)
Collapsed to 1484 vertices (cost: 155.556)
Collapsed to 1483 vertices (cost: 156.25)
Collapsed to 1482 vertices (cost: 156.863)
Collapsed to 1481 vertices (cost: 1.1115e-05)
Collapsed to 1480 vertices (cost: 117.401)
Collapsed to 1479 vertices (cost: 157.143)
Collapsed to 1478 vertices (cost: 3.48243e-05)
Collapsed to 1477 vertices (cost: 0.000122087)
Collapsed to 1476 vertices (cost: 157.367)
Collapsed to 1475 vertices (cost: 3.88128e-06)
Collapsed to 1474 vertices (cost: 1.02309e-08)
Collapsed to 1473 vertices (cost: 157.377)
Collapsed to 1472 vertices (cost: 158.782)
Collapsed to 1471 vertices (cost: 79.5642)
Collapsed to 1470 vertices (cost: 158.889)
Collapsed to 1469 vertices (cost: 36.3637)
Collapsed to 1468 vertices (cost: 160)
Collapsed to 1467 vertices (cost: 125.455)
Collapsed to 1466 vertices (cost: 160)
Collapsed to 1465 vertices (cost: 160)
Collapsed to 1464 vertices (cost: 160)
Collapsed to 1463 vertices (cost: 29.697)
Collapsed to 1462 vertices (cost: 160)
Collapsed to 1461 vertices (cost: 107.143)
Collapsed to 1460 vertices (cost: 160)
Collapsed to 1459 vertices (cost: 86.4286)
Collapsed to 1458 vertices (cost: 40)
Collapsed to 1457 vertices (cost: 3.60506e-05)
Collapsed to 1456 vertices (cost: 2.68521e-12)
Collapsed to 1455 vertices (cost: 162.5)
Collapsed to 1454 vertices (cost: 23.8095)
Collapsed to 1453 vertices (cost: 163.158)
Collapsed to 1452 vertices (cost: 163.636)
Collapsed to 1451 vertices (cost: 163.636)
Collapsed to 1450 vertices (cost: 164.444)
Collapsed to 1449 vertices (cost: 164.706)
Collapsed to 1448 vertices (cost: 166.667)
Collapsed to 1447 vertices (cost: 4.38853e-05)
Collapsed to 1446 vertices (cost: 62.5)
Collapsed to 1445 vertices (cost: 166.667)
Collapsed to 1444 vertices (cost: 2.81073e-05)
Collapsed to 1443 vertices (cost: 14.8237)
Collapsed to 1442 vertices (cost: 166.667)
Collapsed to 1441 vertices (cost: 100)
Collapsed to 1440 vertices (cost: 20)
Collapsed to 1439 vertices (cost: 169.014)
Collapsed to 1438 vertices (cost: 0.000274936)
Collapsed to 1437 vertices (cost: 48.7993)
