Using hybrid two-pass approach
APSC: Starting from 1850 to 198
Collapsed to 1579 vertices (cost: 150)
Collapsed to 1578 vertices (cost: 147.826)
Collapsed to 1577 vertices (cost: 150)
Collapsed to 1576 vertices (cost: 150)
Collapsed to 1575 vertices (cost: 64.7059)
Collapsed to 1574 vertices (cost: 150)
Collapsed to 1573 vertices (cost: 45)
Collapsed to 1572 vertices (cost: 150)
Collapsed to 1571 vertices (cost: 150)
Collapsed to 1570 vertices (cost: 150)
Collapsed to 1569 vertices (cost: 150.256)
Collapsed to 1568 vertices (cost: 153.846)
Collapsed to 1567 vertices (cost: 155.556)
Collapsed to 1566 vertices (cost: 118.519)
Collapsed to 1565 vertices (cost: 155.556)
Collapsed to 1564 vertices (cost: 156.522)
Collapsed to 1563 vertices (cost: 4.49501e-05)
Collapsed to 1562 vertices (cost: 1.78546e-07)
Collapsed to 1561 vertices (cost: 158.824)
Collapsed to 1560 vertices (cost: 160.714)
Collapsed to 1559 vertices (cost: 161.538)
Collapsed to 1558 vertices (cost: 163.636)
Collapsed to 1557 vertices (cost: 164.444)
Collapsed to 1556 vertices (cost: 4.49835e-05)
Collapsed to 1555 vertices (cost: 166.667)
Collapsed to 1554 vertices (cost: 166.667)
Collapsed to 1553 vertices (cost: 167.832)
Collapsed to 1552 vertices (cost: 167.879)
Collapsed to 1551 vertices (cost: 102.318)
Collapsed to 1550 vertices (cost: 86.1095)
Collapsed to 1549 vertices (cost: 175)
Collapsed to 1548 vertices (cost: 177.778)
Collapsed to 1547 vertices (cost: 2.85185)
Collapsed to 1546 vertices (cost: 179.512)
Collapsed to 1545 vertices (cost: 180)
Collapsed to 1544 vertices (cost: 184.276)
Collapsed to 1543 vertices (cost: 7.02316)
Collapsed to 1542 vertices (cost: 184.615)
Collapsed to 1541 vertices (cost: 7.00792e-05)
Collapsed to 1540 vertices (cost: 184.615)
Collapsed to 1539 vertices (cost: 19.0476)
Collapsed to 1538 vertices (cost: 185.294)
Collapsed to 1537 vertices (cost: 187.05)
Collapsed to 1536 vertices (cost: 5.6297e-05)
Collapsed to 1535 vertices (cost: 2.37604e-06)
Collapsed to 1534 vertices (cost: 40)
Collapsed to 1533 vertices (cost: 187.5)
Collapsed to 1532 vertices (cost: 189.539)
Collapsed to 1531 vertices (cost: 190.476)
Collapsed to 1530 vertices (cost: 4.69878e-05)
Collapsed to 1529 vertices (cost: 193.171)
Collapsed to 1528 vertices (cost: 197.576)
Collapsed to 1527 vertices (cost: 200)
Collapsed to 1526 vertices (cost: 50)
Collapsed to 1525 vertices (cost: 200)
Collapsed to 1524 vertices (cost: 200)
Collapsed to 1523 vertices (cost: 200)
Collapsed to 1522 vertices (cost: 200)
Collapsed to 1521 vertices (cost: 200)
Collapsed to 1520 vertices (cost: 200)
Collapsed to 1519 vertices (cost: 1.75548e-05)
Collapsed to 1518 vertices (cost: 200)
Collapsed to 1517 vertices (cost: 200)
Collapsed to 1516 vertices (cost: 200)
Collapsed to 1515 vertices (cost: 200)
Collapsed to 1514 vertices (cost: 80)
Collapsed to 1513 vertices (cost: 100)
Collapsed to 1512 vertices (cost: 200)
Collapsed to 1511 vertices (cost: 93.3333)
Collapsed to 1510 vertices (cost: 200)
Collapsed to 1509 vertices (cost: 204.051)
Collapsed to 1508 vertices (cost: 204.828)
Collapsed to 1507 vertices (cost: 2.37946e-05)
Collapsed to 1506 vertices (cost: 2.41204e-07)
Collapsed to 1505 vertices (cost: 188.696)
Collapsed to 1504 vertices (cost: 206.25)
Collapsed to 1503 vertices (cost: 206.566)
Collapsed to 1502 vertices (cost: 184.914)
Collapsed to 1501 vertices (cost: 207.921)
Collapsed to 1500 vertices (cost: 209.524)
Collapsed to 1499 vertices (cost: 210)
Collapsed to 1498 vertices (cost: 10)
Collapsed to 1497 vertices (cost: 171.429)
Collapsed to 1496 vertices (cost: 210.66)
Collapsed to 1495 vertices (cost: 5.27828e-05)
Collapsed to 1494 vertices (cost: 210.87)
Collapsed to 1493 vertices (cost: 100)
Collapsed to 1492 vertices (cost: 131.081)
Collapsed to 1491 vertices (cost: 178.476)
Collapsed to 1490 vertices (cost: 211.765)
Collapsed to 1489 vertices (cost: 145.455)
Collapsed to 1488 vertices (cost: 212.5)
Collapsed to 1487 vertices (cost: 216)
Collapsed to 1486 vertices (cost: 164.706)
Collapsed to 1485 vertices (cost: 220)
Collapsed to 1484 vertices (cost: 221.053)
Collapsed to 1483 vertices (cost: 222.857)
Collapsed to 1482 vertices (cost: 60.0825)
Collapsed to 1481 vertices (cost: 224.744)
Collapsed to 1480 vertices (cost: 5.21052e-05)
Collapsed to 1479 vertices (cost: 211.491)
Collapsed to 1478 vertices (cost: 225)
Collapsed to 1477 vertices (cost: 225)
Collapsed to 1476 vertices (cost: 225)
Collapsed to 1475 vertices (cost: 225.676)
Collapsed to 1474 vertices (cost: 227.027)
Collapsed to 1473 vertices (cost: 227.273)
Collapsed to 1472 vertices (cost: 227.5)
Collapsed to 1471 vertices (cost: 228.571)
Collapsed to 1470 vertices (cost: 228.571)
Collapsed to 1469 vertices (cost: 4.30737e-08)
Collapsed to 1468 vertices (cost: 230.769)
Collapsed to 1467 vertices (cost: 231.757)
Collapsed to 1466 vertices (cost: 233.333)
Collapsed to 1465 vertices (cost: 1.25616e-05)
Collapsed to 1464 vertices (cost: 100)
